17/11/2023;12:00;agustin carnevale;carnevale21@hotmail.com;juan manuel de rosas 100
18/11/2023;12:00;joaquin rodriguez;rodriguez@hotmail.com;pelegrini 120
18/11/2023;15:00;julia catalan;juliacatalan@hotmail.com;rodriguez 1254
19/11/2023;09:00;bianca seccaspina;bianca@hotmail.com;laprida 762
19/11/2023;12:00;salvador abramor;salvaabramor@hotmail.com;buenos aires 1266
20/11/2023;09:00;oliver;oliver@hotmail.com;sarmiento 560
20/11/2023;12:00;sofia tomei;tomei@hotmail.com;ricardone 1200
20/11/2023;15:00;Carlos Garcia;charly@hotmail.com;salta 1200
21/11/2023;09:00;valentina petroni;valenpetroni@hotmail.com;san lorenzo 2050
22/11/2023;12:00;mateo gomez;tutegomez@hotmail.com;salta 1200
